id,Año,región,region_rec,Línea presupuestaria,Tipo de Entidad receptora,Tipo de institución,Nombre entidad receptora (ejecutora),id_instituciones,Ejecución (miles de $ de cada año),RH
692,2015,Coquimbo,4,CENTRO DE AGUAS PARA ZONAS ARIDAS (CAZALAC)-Investigación producción acelerada de forraje con bajo consumo hídrico (30404025-0)                                                                                                                           ,CENTRO I+D,Organización Internacional,Centro del Agua para Zonas Áridas de América Latina y el Caribe (CAZALAC),70988,67395,si
713,2016,Coquimbo,4,CENTRO DE ESTUDIOS AVANZADOS EN ZONAS ÁRIDAS (CEAZA) - Análisis monitoreo y modelación hidrológica cabeceras (30404077-0),CENTRO I+D,Centro de Investigación Privado,Centro de Estudios Avanzados en Zonas Áridas,70997,49769,si
721,2015,Coquimbo,4,CENTRO DE ESTUDIOS AVANZADOS EN ZONAS ÁRIDAS (CEAZA) - Análisis monitoreo y modelación hidrológica cabeceras (30404077-0)                                                                                                                                 ,CENTRO I+D,Centro de Investigación Privado,Centro de Estudios Avanzados en Zonas Áridas,70997,49769,si
724,2015,Coquimbo,4,CENTRO DE ESTUDIOS AVANZADOS EN ZONAS ÁRIDAS (CEAZA) - Investigación áreas potenciales e implementación de barreras de nieve (30403127-0)                                                                                                                 ,CENTRO I+D,Centro de Investigación Privado,Centro de Estudios Avanzados en Zonas Áridas,70997,55734,si
725,2015,Coquimbo,4,CENTRO DE ESTUDIOS AVANZADOS EN ZONAS ÁRIDAS (CEAZA) - Investigación método holístico de evaluación de caudal  ecológico (30404078-0)                                                                                                                     ,CENTRO I+D,Centro de Investigación Privado,Centro de Estudios Avanzados en Zonas Áridas,70997,33811,si
728,2016,Coquimbo,4,CENTRO DE ESTUDIOS AVANZADOS EN ZONAS ÁRIDAS (CEAZA) -Investigación áreas potenciales e implementación de barreras de nieve (30403127-0),CENTRO I+D,Centro de Investigación Privado,Centro de Estudios Avanzados en Zonas Áridas,70997,111468,si
733,2016,Coquimbo,4,CENTRPO DE ESTUDIOS AVANZADOS EN ZONAS ÁRIDAS (CEAZA) - Investigación método holístico de evaluación de caudal  ecológico (30404078-0),CENTRO I+D,Centro de Investigación Privado,Centro de Estudios Avanzados en Zonas Áridas,70997,67622,si
741,2014,Aysén,12,CIEP - Transferencia modelización computacional para recursos hídricos (30137300-0)                                                                                                                                                                       ,CENTRO I+D,Centro de Investigación Privado,Centro de Investigación en Ecosistemas de la Patagonia:,71000,44715,si
759,2014,Arica y Parinacota,15,CODECITE - Transferencia Integración Sistema Recirculación Acuapónico Arica y Parinacota                                                                                                                                                                  ,CENTRO I+D,Organismo público,CODECITE,71006,98850,si
761,2015,Arica y Parinacota,15,CODECITE - Transferencia Integración Sistema Recirculación Acuapónico Arica y Parinacota                                                                                                                                                                  ,CENTRO I+D,Organismo público,CODECITE,71006,35945,si
