ID_investigadores,Nombre,A1,A2,N_pub_autor_principal,N_pub_total,Ratio,Proyecto,género,ofos,fos,fos_rec,tipo_inv,area WOS1,area WOS2,area WOS3,area WOS4,area WOS5,area WOS6,institución_trabaja,,,,,
55181420600,Juan Ricardo,Figueroa,Jara,0,7,"0,0",,M,4,Ciencias Naturales,1,I1,Educational Sciences,Biology,,,,,Universidad de Concepción,,,,,
55667104800,Katherine,Lizama,Allende,6,7,"85,7",,F,3,Ingeniería y tecnología,2,I1,--,Civil Engineering,Civil Engineering,,,,Universidad de Chile,,,,,
56148670500,Koen,Verbist,,2,7,"28,6",,M,4,Ciencias Naturales,1,I1,Forestry and Wood Industry,Biology,Environmental biotechnology,,,,"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura",,,,,
7005735928,Óscar,Parra,Barrientos,0,7,"0,0",,M,4,Ciencias Naturales,1,I1,Biology,Agriculture and Forestry, Fishery not elsewhere classified,,,,Universidad de Concepción,,,,,
51664851200,Pilar,Gil,,4,7,"57,1",,F,1,Ciencias agrícolas,4,I1,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,,,Pontificia Universidad Católica de Chile,,,,,
6506337825,Ximena,Vargas,Mesa,1,7,"14,3",,F,3,Ingeniería y tecnología,2,I1,Civil Engineering,,,,,,Universidad de Chile,,,,,
55969963000,Yarko,Niño,Campos,0,7,"0,0",,M,3,Ingeniería y tecnología,2,I1,Civil Engineering,Civil Engineering,Civil Engineering,,,,Universidad de Chile,,,,,
7004587005,Aldo,Tamburrino,Tavantzis,3,6,"50,0",,M,4,Ciencias Naturales,1,I1,Civil Engineering,Civil Engineering,Civil Engineering,,,,Universidad de Chile,,,,,
6603107360,Andrés,Muñoz,Pedreros,5,6,"83,3",,M,4,Ciencias Naturales,1,I1,Biology,Veterinary Medicine,Environmental Engineering,,,,Universidad Católica de Temuco,,,,,
6701322011,Eduardo,Holzapfel,Hoces,3,6,"50,0",,M,1,Ciencias agrícolas,4,I1,Environmental Engineering,Cultivation of Land, Horticulture,--,,,Universidad de Concepción,,,,,
14036327900,Fernando,Peña,,0,6,"0,0",,M,2,Ciencias sociales,5,I1,History, Archaeology,Environmental Engineering,,,,Universidad Católica de Temuco,,,,,
24568403500,Guillermo,Donoso,Harris,4,6,"66,7",,M,2,Ciencias sociales,5,I1,Cultivation of Land, Horticulture,Economics,,,,Pontificia Universidad Católica de Chile,,,,,
