ID_investigadores,nombrecompleto,carrera_rec,categoria_grado,institucion_estudio,institucion_estudio_rec,pais_rec,especializacion,ofos1_rec,ambito_trabajo,institucion_trabaja,institucion_trabaja_rec,cargo,unidad1,unidad2,ciudad_trabaja,ciudad_trabaja_rec,region_trabaja,numero_publicaciones,numero_publicaciones_wos,Citaciones,impacto_autor,ofos_1
16310638100,Gonzalo Rebolledo,"Licenciado en Recursos Naturales,Máster en Ciencias, mención Producción, Manejo y Conservación de Recursos Naturales","1,3","Universidad Católica de Temuco,Universidad de Los Lagos","104,152","ch,ch","Agriculture and Forestry, Fishery not elsewhere classified,Environmental Engineering","1,3",1,Universidad Católica de Temuco,104,Profesor Asistente,Facultad de Recursos Naturales, Escuela de Ciencias Ambientales,Temuco,13,9,1,0,0,0.85,
18134601100,Arturo Reyes,"Químico,Doctor en Ciencias de la Ingeniería","1,4","Universidad Católica de Valparaíso,Pontificia Universidad Católica de Chile","105,67","ch,ch","Chemistry,--","4,3",1,Centro de Investigación Científico Tecnológico para la Minería ,823732,Investigador,Área de Bioenergía y Sustentabilidad,#s.i.,Antofagasta,10,2,1,1,1,0.61,1
18633455900,José Dörner,"Ingeniero Agrónomo,Doctor en Ciencias Agrícolas ","1,4","Universidad Austral de Chile,Universidad de Cristian Albrechts de Kiel","94,129","ch,al","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture","1,1",1,Universidad Austral de Chile,94,Profesor Asociado ,Facultad de Ciencias Agrarias,Instituto de Ingeniería Agraria y Suelos,Valdivia,17,10,5,5,18,10.34,1
18635140500,Pablo Pastén González,"Máster en Ciencias de la Ingeniería,Ingeniero Civil,Doctor en Ingeniería Ambiental","3,1,4","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,Northwestern University","67,67,60","ch,ch,usa","--,Civil Engineering,Environmental Engineering","3,3,3",1,Pontificia Universidad Católica de Chile,67,Profesor Asociado,Escuela de Ingeniería,Departamento de Ingeniería Hidráulica y Ambiental,Santiago,1,14,10,8,34,30.62,3
22136384100,Diana Quevedo Tejada,"Máster en Hidrología General y Aplicada,Diploma de Suficiencia Investigadora en Ingeniería Hidráulica y Medio Ambiente,Ingeniero Civil,Doctor en Ingeniería Hidráulica y Medio Ambiente","3,2,1,4","Centro de Estudios y Experimentación de Obras Públicas (CEDEX),Universidad Politécnica de Valencia,Universidad Nacional de Colombia,Universidad Politécnica de Valencia","7,228,215,228","es,es,col,es","Hydrology,Civil Engineering,Civil Engineering,Civil Engineering","4,3,3,3",1,Universidad de Santiago de Chile,170,"Profesor, Investigador",Facultad de Ingeniería, Departamento de Ingeniería en Obras Civiles ,Santiago,1,14,1,1,3,0.42,4
22934582700,Sébastien Monnier,"Máster en Geomorfología,Licenciado en Geografía,Doctor en Ciencias del Medio Ambiente","3,1,4","Universidad París I,Universidad París I,Universidad París XII Val de Marne","221,221,223","fr,fr,fr","Physical Geography,Human Geography, Regional Geography, Regional Planning,Environmental Engineering","4,2,3",1,Pontificia Universidad Católica de Valparaíso,69,Profesor,Facultad de Ciencias del Mar y Geografía,Instituto de Geografía,Valparaíso,6,5,8,8,41,20.41,4
22938373600,Alejandro León Stewart,"Máster en Administración de Empresas,Ingeniero Agrónomo,Doctor en Ciencia de los Recursos en Tierras Áridas","3,1,4","Pontificia Universidad Católica de Chile,Universidad de Chile,University of Arizona","67,125,247","ch,ch,usa","Economics,Cultivation of Land, Horticulture,Soil science","2,1,1",1,Universidad de Chile,125,Profesor Titular,Facultad de Ciencias Agronómicas, Departamento de Ciencias Ambientales y Recursos Naturales Renovables,Santiago,1,14,1,0,3,0.12,
22984685600,Carlos Esse Herrera,"Máster en Sistemas de Información Geográfica y Percepción Remota,Ingeniero Forestal,Doctor en Ciencias Forestales","3,1,4",Universidad Austral de Chile,#N/A,ch,"Human Geography, Regional Geography, Regional Planning,Forestry and Wood Industry,Forestry and Wood Industry","2,1,1",1,Universidad Católica de Temuco,104,Director ,Facultad de Recursos Naturales, Escuela de Ciencias Ambientales,Temuco,13,9,1,1,0,0.55,4
22985490100,Mirtha Latsague,"Profesor en Ciencias Naturales y Biología,Máster en Ciencias, mención Botánica","1,3",Universidad Austral de Chile,#N/A,ch,"Biology,Biology","4,4",1,Universidad Católica de Temuco,104,Profesor ,Facultad de Recursos Naturales,Escuela de Ciencias Ambientales,Temuco,13,9,1,1,13,1.74,1
23006671300,Sebastián Vicuña Díaz,"Máster en Ingeniería Civil y Ambiental,Ingeniero Civil,Doctor en Ingeniería Civil y Ambiental","3,1,4","University of California,Pontificia Universidad Católica de Chile,University of California","251,67,251","usa,ch,usa","Environmental Engineering,Civil Engineering,Environmental Engineering","3,3,3",1,Pontificia Universidad Católica de Chile,67,Director Ejecutivo,Centro de Cambio Global UC,#s.i.,Santiago,1,14,20,15,205,37.45,4
