codigo_proyecto,institucion financiante,programa,Instrumento,anio,nombre_proyecto,estado,Investigador,tipo_participación,institucion ejecutora,id institucion,tipo_participacion,region(es)_ejecución,region(es)_ejecución_rec,Taxonomia FIA,Taxonomia Cameron,Taxonomia_CORFO,Taxonomia Sector Aplicacion (propia),objetivos,objetivos_especificos
15PIRE-45483,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACIÓN,2015,PLANTA PILOTO A MINIMA ESCALA PARA TRATAMIENTO DE AGUAS RESIDUALES  SERVIDAS  E INDUSTRIALES  A TRAVÉS DE HUMEDALES  ARTIFICIALES SUB SUPERFICIALES,,,,Pedro Enrique  Arancibia Pozo,Persona Natural,ASOCIADO,,,,,,5,,
15PIRE-45483,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACIÓN,2015,PLANTA PILOTO A MINIMA ESCALA PARA TRATAMIENTO DE AGUAS RESIDUALES  SERVIDAS  E INDUSTRIALES  A TRAVÉS DE HUMEDALES  ARTIFICIALES SUB SUPERFICIALES,,,,Salitrera Irma Servicios de Higene Ltda,1303,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
15PIRE-45500,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACIÓN,2015,"DATOS: TELEMETRÍA, MONITOREO Y ANÁLISIS PARA AGRICULTURA",,,,Confinger SPA,1304,BENEFICIARIA / DESARROLLADOR,,,,,,2,,
15PIRE-45520,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACIÓN,2015,REMEDIACIÓN DE AGUAS CONTAMINADAS CON BACTERIAS,,,,Drocom Distribuidora,7961,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
15PIRE-45525,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACIÓN,2015,"“PROTOTIPO AUTOMATIZADO PARA AUMENTAR LA  EFICIENCIA HÍDRICA EN MINERÍA  AL RECUPERAR AGUA CONTAMINADA CON SÓLIDOS ULTRA FINOS EN PROCESO DE MOLIENDA, EN COMPAÑÍAS DE LA MACROZONA NORTE”",,,,INGENIERÍA GESTIÓN Y DESARROLLO SOCIEDAD ANÓNIMA,7929,BENEFICIARIA / DESARROLLADOR,,,,,,6,,
15PIRE-45537,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACIÓN,2015,"FILTRO BIOLÓGICO TRANSPORTABLE, PARA TRATAMIENTO DE AGUAS SERVIDAS",,,,MODULOS WEWFE LTDA,7963,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
15PIRE-45556,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACIÓN,2015,PROTOTIPO UNIDAD  DE TRATAMIENTO Y RECUPERACIÓN DE ACEITES EN AGUAS RESIDUALES INDUSTRIALES,,,,TRATAMIENTO DE LIQUIDOS Y SOLIDOS MAGALLANES SPA,7964,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
15PIRE-48196,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACIÓN,2015,LIMPIEZA Y RECUPERACIÓN DE AGUAS RESIDUALES UTILIZANDO ENERGÍAS RENOVABLES,,,,Ingenieria Y Construcciones Manibel Limitada,7965,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
15PRAE-41502,CORFO,EMPRENDIMIENTO,PRAE 2015,2015,DESARROLLO DE BALSAS HIDROPÓNICAS PARA TRATAMIENTO DE AGUAS CONTAMINADAS CON TECNOLOGÍA VETIVER.,,,,Bioingeniería Vetiver Chile SpA,1306,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
15PRAE-47130,CORFO,EMPRENDIMIENTO,PRAE 2015,2015,HIDROGRASS,,,,Cristian Ponce Navarrete,Persona Natural,BENEFICIARIA / DESARROLLADOR,,,,,,2,,
15SUP-45011,CORFO,EMPRENDIMIENTO,START-UP  CHILE (I),2015,GREY FOR WATER - G4W,,,,FABIAN ANDRES BUSTOS OLAVARRIA,Persona Natural,ASOCIADO,,,,,,5,,
15SUP-45011,CORFO,EMPRENDIMIENTO,START-UP  CHILE (I),2015,GREY FOR WATER - G4W,,,,NICOLÁS ESTEBAN DIEGO VILLAR ARGOTE,Persona Natural,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
15SUP-45011,CORFO,EMPRENDIMIENTO,START-UP  CHILE (I),2015,GREY FOR WATER - G4W,,,,JORGE MARIO MIRANDA BERNAL,Persona Natural,ASOCIADO,,,,,,5,,
15VIP-43790,CORFO,INNOVACION EMPRESARIAL,PROGRAMA DE VINCULACION EMPRESA - ENTIDADES PROVEEDORAS DE CONOCIMIENTO: VOUCHER DE INNOVACIÓN.,2015,CONSULTORÍA PARA MEJORA Y DIFERENCIACIÓN DE PRODUCTOS CDC RIEGO Y MIASISTENCIA MOVIL,,,,RAFAEL SOTOMAYOR Y COMPAÑÍA LIMITADA,1307,BENEFICIARIA / DESARROLLADOR,,,,,,9,,
15VIP-44083,CORFO,INNOVACION EMPRESARIAL,PROGRAMA DE VINCULACION EMPRESA - ENTIDADES PROVEEDORAS DE CONOCIMIENTO: VOUCHER DE INNOVACIÓN.,2015,HIDRODINÁMICA EN LOS LECHOS DE PILAS DE LIXIVIACIÓN,,,,EMPRESA DE INGENIERÍA VALTEC Y COMPAÑÍA LIMITADA,1308,BENEFICIARIA / DESARROLLADOR,,,,,,6,,
16COTE-60112,CORFO,INNOVACION EMPRESARIAL,CONTRATOS TECNOLÓGICOS PARA LA INNOVACIÓN,2016,DESARROLLO DE HERRAMIENTAS TECNOLÓGICAS PARA GESTIÓN Y MONITOREO REMOTO DE SISTEMAS HIDROLÓGICOS DE CENTRALES HIDROELÉCTRICAS.,,,,EMPRESA NACIONAL DE ELECTRICIDAD S.A,1309,BENEFICIARIA / DESARROLLADOR,,,,,,8,,
16COTE-60128,CORFO,INNOVACION EMPRESARIAL,CONTRATOS TECNOLÓGICOS PARA LA INNOVACIÓN,2016,INVESTIGACIÓN Y DISEÑO DE UN SISTEMA DE TRATAMIENTO PASIVO DE DRENAJE ÁCIDO DE MINAS OPTIMIZADO PARA LAS CONDICIONES CLIMÁTICAS Y GEOGRÁFICAS CHILENAS,,,,VALORIZA CHILE SPA,Sin actividad,MANDANTES,,,,,,6,,
16COTE-60128,CORFO,INNOVACION EMPRESARIAL,CONTRATOS TECNOLÓGICOS PARA LA INNOVACIÓN,2016,INVESTIGACIÓN Y DISEÑO DE UN SISTEMA DE TRATAMIENTO PASIVO DE DRENAJE ÁCIDO DE MINAS OPTIMIZADO PARA LAS CONDICIONES CLIMÁTICAS Y GEOGRÁFICAS CHILENAS,,,,Sacyr Chile S.A.,1310,BENEFICIARIA / DESARROLLADOR,,,,,,6,,
16PIRE-60714,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACION REGIONAL.,2016,MÁQUINA PARA LIMPIEZA DE CANALES DE RIEGO,,,,JORGE ROGALER FIGUEROA CONSTRUCTORA E.I.R.L,7950,BENEFICIARIA / DESARROLLADOR,,,,,,2,,
